CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue
1,52,Male,Month-to-month,31.8,986.18,No,DSL,37,Yes,Bank transfer,No,25.95,1269.41
2,42,Male,Month-to-month,30.47,1202.39,Yes,Fiber optic,36,Yes,Electronic check,No,32.5,1341.31
3,54,Male,Two year,20.0,1052.31,Yes,DSL,53,Yes,Bank transfer,No,19.49,1306.68
4,67,Male,Month-to-month,94.53,671.46,No,No,4,Yes,Bank transfer,No,134.29,836.18
5,41,Male,Month-to-month,94.83,2235.36,No,DSL,24,Yes,Electronic check,No,89.41,3194.76
6,41,Female,Month-to-month,95.31,6870.93,No,DSL,72,Yes,Electronic check,No,94.12,9578.85
7,68,Female,Month-to-month,79.2,1717.93,No,No,21,Yes,Mailed check,Yes,78.09,2506.07
8,56,Female,Two year,20.0,1229.81,Yes,Fiber optic,67,Yes,Credit card,No,18.09,1421.91
9,37,Male,Month-to-month,39.2,1368.61,No,No,34,Yes,Mailed check,No,39.1,1797.68
10,53,Male,Two year,75.11,5336.45,Yes,Fiber optic,71,Yes,Mailed check,No,74.12,5913.19
11,38,Male,Two year,74.07,5080.15,Yes,Fiber optic,69,Yes,Bank transfer,No,72.57,7265.68
12,38,Female,Month-to-month,63.32,370.53,No,DSL,4,Yes,Credit card,No,74.11,461.92
13,48,Female,Month-to-month,81.07,2990.19,Yes,Fiber optic,38,Yes,Credit card,Yes,76.67,3372.11
14,18,Female,Two year,70.35,1715.88,Yes,DSL,24,Yes,Mailed check,No,68.64,2110.3
15,19,Male,Month-to-month,73.62,2427.78,No,No,31,Yes,Electronic check,Yes,75.87,2949.19
16,36,Female,Month-to-month,50.83,3080.68,No,DSL,62,Yes,Bank transfer,No,48.9,4332.66
17,29,Male,Month-to-month,99.46,3849.26,No,DSL,39,Yes,Electronic check,Yes,96.23,4429.14
18,49,Female,Month-to-month,57.08,1147.76,No,No,16,Yes,Mailed check,Yes,67.52,1517.69
19,31,Female,One year,30.08,498.65,No,Fiber optic,15,Yes,Bank transfer,No,31.17,706.87
20,23,Female,Month-to-month,46.87,1402.35,No,Fiber optic,31,Yes,Bank transfer,No,43.82,1957.42
